,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
50,Zhigansk,68,RU,1553376815,78,66.77,123.37,8.77,6.42
51,Bouna,0,CI,1553321681,25,9.27,-3.0,94.99,2.73
52,Half Moon Bay,20,US,1553350132,76,37.46,-122.43,60.01,8.05
53,West Bay,75,GB,1553321277,93,50.71,-2.76,53.01,4.7
54,Provideniya,92,RU,1553447932,100,64.42,-173.23,15.07,12.24
55,Port Alfred,0,ZA,1553314648,93,-33.59,26.89,75.99,3.0
56,Fort Morgan,88,US,1553345635,93,40.25,-103.8,41.0,16.11
57,Hasaki,20,JP,1553373343,92,35.73,140.83,30.2,1.12
58,Codrington,12,AU,1553370734,88,-28.95,153.24,72.0,6.93
59,Praya,75,ID,1553379523,100,-8.71,116.27,75.2,9.17
60,Pacific Grove,20,US,1553350018,71,36.62,-121.92,61.0,11.41
61,Acapulco,5,MX,1553344882,52,16.86,-99.88,87.8,8.05
62,Saint-Philippe,1,CA,1553338305,84,45.36,-73.48,37.0,20.8
63,Georgetown,40,GY,1553334925,66,6.8,-58.16,89.6,13.87
64,Araouane,92,ML,1553321760,11,18.9,-3.53,87.79,5.08
65,Vostok,0,RU,1553374406,67,46.45,135.83,6.34,2.51
66,Prince Rupert,90,CA,1553351774,61,54.32,-130.32,50.0,8.05
67,San Pedro,24,AR,1553335431,51,-33.68,-59.66,77.0,4.0
68,Tasiilaq,20,GL,1553329241,56,65.61,-37.64,15.8,14.99
69,Gat,20,SN,1553324903,60,14.69,-16.54,73.4,16.11
70,Agadez,0,NE,1553319007,19,16.97,7.99,96.8,9.17
71,Saskylakh,0,RU,1553378685,33,71.97,114.09,-23.01,3.4
72,Kharp,0,RU,1553304431,70,66.82,65.8,6.79,4.97
73,Corinto,36,BR,1553331733,62,-18.36,-44.46,83.74,5.64
74,Oistins,20,BB,1553335224,58,13.07,-59.53,84.2,17.22
75,Hobart,75,AU,1553372212,63,-42.88,147.33,64.4,9.17
76,Faya,0,SA,1553310734,63,18.39,42.45,66.2,4.7
77,Alenquer,40,BR,1553334142,79,-1.95,-54.74,86.0,2.24
78,Norman Wells,75,CA,1553350605,68,65.28,-126.83,26.6,25.28
79,Saint Anthony,90,US,1553347479,86,43.97,-111.68,44.01,4.7
80,Lavrentiya,92,RU,1553447334,100,65.58,-170.99,14.17,10.0
81,Hilo,75,US,1553358105,77,19.71,-155.08,73.99,5.82
82,Kapaa,75,US,1553359106,73,22.08,-159.32,73.4,19.46
83,Beringovskiy,92,RU,1553363587,84,63.05,179.32,6.88,20.74
84,Semenivka,0,UA,1553312785,79,52.18,32.58,33.43,5.75
85,Bethel,75,US,1553359135,80,60.79,-161.76,35.6,5.82
86,Kaohsiung,75,TW,1553378378,88,22.62,120.31,64.99,4.7
87,Okha,24,RU,1553372569,79,53.59,142.95,-1.32,11.45
88,Coquimbo,75,CL,1553338224,77,-29.95,-71.34,60.8,10.29
89,La Ronge,90,CA,1553345763,67,55.1,-105.3,32.0,10.29
90,Saint-Francois,0,FR,1553319742,51,46.42,3.91,59.0,4.7
91,Tuktoyaktuk,90,CA,1553351872,71,69.44,-133.03,8.6,23.04
92,Upernavik,24,GL,1553333240,100,72.79,-56.15,-5.91,9.66
93,New Norfolk,75,AU,1553372276,63,-42.78,147.06,64.4,9.17
94,Atar,0,MR,1553324034,27,20.52,-13.05,81.49,10.33
95,Bredasdorp,8,ZA,1553316295,88,-34.53,20.04,71.01,3.36
96,Adrar,0,DZ,1553320927,15,27.87,-0.29,78.8,11.41
97,Chokurdakh,56,RU,1553370707,50,70.62,147.9,-17.52,3.18
98,Vila Velha,75,BR,1553330276,78,-3.71,-38.6,82.4,10.29
99,Port Hedland,75,AU,1553379019,100,-20.31,118.58,78.8,41.38
100,Punta Arenas,20,CL,1553338199,71,-53.16,-70.91,55.4,8.05
101,Maniitsoq,56,GL,1553332902,99,65.42,-52.9,5.26,14.7
102,Dwarka,0,IN,1553388707,56,28.58,77.04,71.6,9.17
103,Torbay,75,CA,1553333299,71,47.66,-52.73,51.8,21.92
104,Ochamchira,100,GE,1553310784,100,42.71,41.47,42.52,8.88
105,Victoria,75,BN,1553379702,88,5.28,115.24,82.4,4.7
106,Cabo San Lucas,5,MX,1553347250,30,22.89,-109.91,82.0,11.41
107,Pucallpa,75,PE,1553338918,331,-8.38,-74.54,35.6,2.24
108,Santa Elena,0,EC,1553340411,62,-2.23,-80.86,86.0,9.17
109,Aljezur,0,PT,1553322891,59,37.31,-8.8,64.99,1.01
110,Luau,76,CD,1553315702,69,-10.7,22.23,74.92,4.41
111,Souillac,0,FR,1553320834,34,45.6,-0.6,66.2,5.82
112,Saint George,20,GR,1553315405,62,39.45,22.34,53.6,4.7
113,Khatanga,0,RU,1553381463,48,71.98,102.47,-16.44,3.18
114,Geraldton,5,CA,1553341468,17,49.72,-86.95,46.4,16.11
115,Nhulunbuy,75,AU,1553374616,83,-12.18,136.78,84.2,16.11
116,Port Augusta,92,AU,1553374465,93,-32.49,137.76,69.01,3.51
117,Dikson,68,RU,1553386557,91,73.51,80.55,15.07,21.52
118,Inhumas,40,BR,1553332937,51,-16.36,-49.5,86.0,6.93
119,Stykkisholmur,88,IS,1553325694,98,65.08,-22.73,36.58,15.7
120,Yerbogachen,32,RU,1553380727,50,61.28,108.01,7.87,7.2
121,Ariquemes,92,BR,1553336161,97,-9.91,-63.03,73.12,2.95
122,Barrow,0,AR,1553335583,48,-38.31,-60.23,79.42,21.41
123,Berlevag,12,NO,1553313000,100,70.86,29.09,30.37,6.76
124,Cravo Norte,12,CO,1553337816,37,6.3,-70.2,97.42,8.55
125,Micheweni,0,TZ,1553311460,100,-4.97,39.83,82.93,11.12
126,Yerofey Pavlovich,8,RU,1553377587,75,53.97,121.97,11.47,2.39
127,Rocha,0,UY,1553334156,58,-34.48,-54.34,75.46,8.77
128,Kaitangata,80,NZ,1553366818,91,-46.28,169.85,56.38,3.96
129,Puerto Escondido,5,MX,1553344214,66,15.86,-97.07,86.0,9.17
130,Koppies,48,ZA,1553314468,62,-27.24,27.57,70.06,2.62
131,Salinas,1,US,1553349955,71,36.67,-121.66,60.01,5.3
132,Poum,20,MK,1553315776,28,41.28,20.71,57.2,3.36
133,Vwawa,24,TZ,1553313127,92,-9.11,32.94,66.37,5.64
134,Mar del Plata,56,AR,1553337360,72,-46.43,-67.52,58.45,14.47
135,Yellowknife,20,CA,1553347734,54,62.45,-114.38,5.0,9.17
136,Raudeberg,88,NO,1553319131,80,61.99,5.14,39.2,25.28
137,Lakhdenpokhya,48,RU,1553313144,80,61.52,30.2,37.0,4.0
138,Presidente Epitacio,0,BR,1553333583,59,-21.76,-52.12,88.24,5.19
139,Inhambane,20,MZ,1553312584,94,-23.87,35.38,75.2,5.82
140,Shenjiamen,0,CN,1553377842,95,29.96,122.3,49.45,11.9
141,Feijo,75,EC,1553340191,74,-3.63,-79.92,89.6,4.7
142,Ambon,0,FR,1553321277,62,47.55,-2.56,59.0,8.05
143,Akonolinga,88,CM,1553318048,88,3.77,12.24,74.74,3.18
144,Guerrero Negro,0,MX,1553348204,63,27.97,-114.04,68.26,4.85
145,Constitucion,5,MX,1553345986,13,23.99,-104.67,66.99,5.82
146,Lebu,40,ET,1553311671,30,8.96,38.73,69.8,6.93
147,Tautira,40,PF,1553356860,74,-17.73,-149.15,84.2,2.24
148,Nakamura,20,JP,1553374298,82,35.17,136.87,42.8,29.97
149,Seoul,1,KR,1553376644,74,37.57,126.98,30.2,2.24
150,Santa Maria,40,BR,1553334014,57,-29.69,-53.81,77.0,6.93
151,Derzhavinsk,68,KZ,1553390984,89,51.1,66.31,30.28,3.06
152,Ihosy,32,MG,1553310000,82,-22.4,46.13,67.81,6.53
153,Ikungi,24,TZ,1553312674,39,-5.13,34.77,75.37,8.99
154,Newport,76,GB,1553321320,66,51.59,-3.0,51.01,9.17
155,Haines Junction,24,CA,1553353329,76,60.75,-137.51,32.98,2.73
156,Kota Belud,75,MY,1553379411,88,6.35,116.43,78.8,4.7
157,Hirara,68,JP,1553377170,100,24.8,125.28,68.53,23.76
158,Kalaleh,0,IR,1553307477,93,37.38,55.49,50.0,2.62
159,Kununurra,44,AU,1553376561,88,-15.77,128.74,78.8,6.93
160,Mouila,92,GA,1553318353,100,-1.86,11.06,72.31,1.95
161,Nizwa,44,OM,1553307092,66,22.93,57.53,65.56,0.6
162,Jalu,8,LY,1553315681,43,29.03,21.55,71.32,13.8
163,Viedma,8,AR,1553336253,53,-40.81,-62.99,69.79,17.38
164,Polovinnoye,48,RU,1553304733,61,54.79,65.99,16.24,2.62
165,Griffith,92,AU,1553372480,68,-34.29,146.06,69.8,9.17
166,Faanui,44,PF,1553357480,100,-16.48,-151.75,83.47,10.22
167,Shimorskoye,20,RU,1553310460,87,55.33,42.04,31.09,8.1
168,Jales,24,BR,1553333201,85,-20.27,-50.55,82.93,5.64
169,Vorotynets,44,RU,1553309530,96,56.06,45.86,32.35,5.64
170,Ancud,75,CL,1553338860,67,-41.87,-73.83,59.0,5.82
171,Camaguey,75,CU,1553339588,58,21.38,-77.92,84.2,14.99
172,Yurimaguas,40,PE,1553339283,78,-5.9,-76.1,82.4,2.95
173,Wajir,12,KE,1553311378,41,1.75,40.07,86.89,7.65
174,Nieuw Nickerie,0,SR,1553334649,81,5.94,-56.99,85.0,14.36
175,Dofteana,0,RO,1553314322,21,46.32,26.53,48.2,9.17
176,Valparaiso,1,US,1553341608,48,41.47,-87.06,51.01,5.41
177,Bilma,8,NE,1553317815,12,18.69,12.92,85.72,11.68
178,Henties Bay,0,NA,1553317645,88,-22.12,14.28,63.0,8.99
179,Mahebourg,75,MU,1553307217,83,-20.41,57.7,80.6,10.29
180,Nuuk,75,GL,1553332674,40,64.17,-51.74,17.6,16.11
181,Northam,75,GB,1553321619,93,51.04,-4.21,52.0,4.7
182,Bone,20,ID,1553378751,100,-5.29,119.42,77.0,2.24
183,Dedza,88,MW,1553312809,94,-14.38,34.33,65.83,5.19
184,Kavieng,44,PG,1553371209,100,-2.57,150.8,83.65,10.22
185,Ginir,0,ET,1553311203,40,7.14,40.71,65.83,5.53
186,Saldanha,24,PT,1553322310,29,41.42,-6.55,64.75,8.66
187,Moranbah,0,AU,1553371954,93,-22.0,148.04,66.55,3.06
188,Sola,40,NO,1553319096,81,58.89,5.65,43.0,19.46
189,Villagarzon,88,CO,1553339382,89,1.04,-76.63,63.67,2.73
190,Inuvik,90,CA,1553352099,61,68.36,-133.71,17.6,18.34
191,Itoman,75,JP,1553376586,55,26.12,127.67,62.01,16.11
192,West Springfield,1,US,1553339279,29,38.77,-77.22,53.01,12.75
193,Awbari,8,LY,1553317804,31,26.59,12.77,64.12,7.2
194,Te Anau,92,NZ,1553367326,87,-45.41,167.72,50.89,3.06
195,Murray Bridge,36,AU,1553374111,92,-35.12,139.28,68.0,5.86
196,Rawson,68,AR,1553336771,45,-43.3,-65.11,66.1,24.09
197,Akdepe,0,TM,1553306496,71,42.05,59.39,50.0,6.93
198,Zabaykalsk,0,CN,1553378786,45,49.64,117.33,26.77,15.7
199,Kahului,20,US,1553358431,60,20.89,-156.47,75.2,11.41
200,Hamilton,75,BM,1553336357,68,32.3,-64.78,71.01,21.92
201,Tuatapere,76,NZ,1553367336,90,-46.13,167.69,57.0,6.76
202,Chapais,1,CA,1553338570,35,49.78,-74.86,23.0,10.29
203,Klaksvik,92,FO,1553321932,80,62.23,-6.59,41.0,8.05
204,Vardo,1,US,1553339395,31,39.62,-77.74,50.0,17.22
205,Poplar Bluff,1,US,1553342457,36,36.76,-90.39,64.4,6.93
206,Melong,68,CM,1553318592,94,5.12,9.95,67.81,2.28
207,Maxixe,20,MZ,1553312592,94,-23.86,35.35,75.2,5.82
208,San Patricio,0,PY,1553334731,55,-26.98,-56.83,81.67,3.29
209,Pathardi,0,IN,1553389230,53,19.17,75.17,67.63,3.62
210,Sao Joao da Barra,75,BR,1553330925,54,-21.64,-41.05,84.2,6.93
211,Ryazhsk,12,RU,1553310965,59,53.71,40.06,36.0,1.99
212,Pringsewu,20,ID,1553382217,89,-5.36,104.98,74.92,2.39
213,Quatre Cocos,75,MU,1553307202,83,-20.21,57.76,80.6,10.29
214,Kenai,90,US,1553356628,93,60.55,-151.26,41.0,6.08
215,Parrita,0,CR,1553341191,50,9.52,-84.33,87.01,18.34
216,Ilulissat,75,GL,1553332284,39,69.22,-51.1,-5.81,12.75
217,Harper,90,US,1553344637,88,30.3,-99.24,71.6,5.82
218,Byron Bay,0,AU,1553370641,94,-28.65,153.62,75.2,11.12
219,Diamantino,0,BR,1553334596,71,-14.4,-56.44,87.34,3.96
220,Mezhdurechensk,0,RU,1553385715,60,53.69,88.07,15.7,2.17
221,Juneau,90,US,1553352661,93,58.3,-134.42,46.4,14.99
222,Iqaluit,90,CA,1553336707,77,63.75,-68.52,5.0,27.51
223,Kochevo,76,BG,1553314758,50,42.1,24.92,59.0,9.17
224,Salalah,20,OM,1553307946,74,17.01,54.1,80.6,9.17
225,Farafangana,76,MG,1553309593,100,-22.82,47.83,75.64,7.2
226,Pisco,0,PE,1553339336,30,-13.71,-76.2,71.6,10.29
227,Nome,1,US,1553343483,41,30.04,-94.42,77.0,13.87
228,Davila,20,PH,1553378343,126,18.47,120.58,77.0,4.7
229,Bodden Town,75,KY,1553340399,78,19.28,-81.25,81.0,11.41
230,Dovolnoye,92,RU,1553387709,90,54.5,79.67,31.09,3.62
231,Fortuna,20,ES,1553321044,51,38.18,-1.13,60.8,5.82
232,Los Llanos de Aridane,75,ES,1553325149,63,28.66,-17.92,64.4,14.99
233,Ribeira Grande,40,PT,1553327650,58,38.52,-28.7,57.2,6.93
234,Fukue,20,JP,1553374343,100,35.03,136.69,42.8,29.97
235,Gorontalo,24,ID,1553377850,95,0.54,123.06,72.13,2.17
236,Narsaq,75,GL,1553331422,44,60.91,-46.05,19.4,3.36
237,Kiama,32,AU,1553371329,78,-34.67,150.86,72.0,8.05
238,Tulum,20,MX,1553341883,51,20.21,-87.46,81.0,13.87
239,Opuwo,88,NA,1553317739,38,-18.06,13.84,81.13,3.85
240,Ueda,64,JP,1553373955,8,36.41,138.25,30.99,2.17
241,Elko,90,US,1553348496,60,40.83,-115.76,45.0,3.36
242,Mimarsinan,75,TR,1553312233,39,38.73,35.6,48.2,11.41
243,Pishin,68,PK,1553304772,92,30.58,67.0,40.27,2.62
244,Nivala,0,FI,1553314321,89,63.93,24.96,35.01,3.0
245,Upata,0,VE,1553335939,46,8.02,-62.41,91.99,8.01
246,Norsup,92,VU,1553367288,100,-16.07,167.38,73.84,3.4
247,Daru,12,SL,1553323570,42,7.99,-10.85,89.68,6.31
248,Tunceli,75,TR,1553311282,75,39.11,39.55,48.2,1.12
249,Marquette,5,US,1553341625,35,46.54,-87.4,50.0,8.05
250,Cam Ranh,40,VN,1553381126,88,11.92,109.15,82.4,3.36
251,Kruisfontein,0,ZA,1553315168,83,-34.0,24.73,70.33,9.78
252,Ayan,48,TR,1553312693,62,40.67,33.6,30.91,8.55
253,Kavaratti,0,IN,1553389892,100,10.57,72.64,83.65,7.76
254,Kysyl-Syr,88,RU,1553377093,72,63.9,122.77,7.96,7.76
255,Salina Cruz,0,MX,1553343763,44,16.18,-95.2,88.33,7.65
256,Uarini,75,BR,1553336646,83,-2.98,-65.16,82.4,12.75
257,Belmonte,12,PT,1553322513,43,40.36,-7.35,70.0,1.01
258,Pontarlier,0,CH,1553319151,56,46.9,6.35,57.99,3.74
259,Wenatchee,1,US,1553349499,46,47.42,-120.31,55.99,10.29
260,Kouroussa,80,GN,1553323325,38,10.65,-9.88,87.97,7.76
261,Primero de Enero,75,CU,1553339706,54,21.94,-78.43,80.6,18.34
262,Galle,90,US,1553344322,64,29.74,-97.91,75.2,14.99
263,Palana,36,RU,1553368358,62,59.08,159.95,20.2,8.21
264,Wanning,0,AT,1553317405,44,48.64,13.53,59.0,4.7
265,Chegdomyn,0,RU,1553374993,64,51.13,133.04,-5.73,2.39
266,Lata,20,IN,1553388308,61,30.78,78.62,42.25,2.95
267,Okhotsk,88,RU,1553372352,86,59.36,143.24,21.19,7.2
268,Inta,20,RU,1553305821,83,66.04,60.13,24.34,6.42
269,Acajutla,0,SV,1553342489,43,13.59,-89.83,84.0,8.99
270,Katsuura,75,JP,1553374879,93,33.93,134.5,37.4,5.82
271,Candido Mendes,36,BR,1553331976,100,-1.45,-45.72,82.12,12.91
272,Hambantota,40,LK,1553387883,100,6.12,81.12,75.2,2.24
273,Itaituba,75,BR,1553334451,70,-4.26,-55.99,86.0,3.96
274,Grand Gaube,75,MU,1553307226,83,-20.01,57.66,80.6,10.29
275,Batagay,48,RU,1553374070,41,67.65,134.64,-13.92,2.73
276,Mao,40,DO,1553337958,45,19.55,-71.08,91.0,13.87
277,Little Current,1,CA,1553340321,76,45.98,-81.93,33.01,12.75
278,Aklavik,75,CA,1553352418,67,68.22,-135.01,17.6,20.8
279,Elat,68,CM,1553318310,88,2.91,11.16,74.47,3.4
280,Westport,75,IE,1553322842,81,53.8,-9.52,48.0,8.05
281,Ostrovnoy,8,RU,1553310666,87,68.05,39.51,29.29,26.33
282,Hauterive,0,FR,1553319857,36,46.09,3.45,60.8,6.93
283,Khani,90,GE,1553310435,100,41.96,42.96,42.8,8.05
284,Esperance,40,TT,1553335698,52,10.24,-61.45,88.0,16.11
285,Bambous Virieux,75,MU,1553307202,83,-20.34,57.76,80.6,10.29
286,Vidim,0,CZ,1553317138,48,50.47,14.53,62.01,3.36
287,Dryden,1,CA,1553342878,36,49.79,-92.84,44.6,18.34
288,Angoche,20,MZ,1553311476,99,-16.23,39.91,83.38,11.23
289,Valdivia,40,CL,1553338714,45,-39.81,-73.25,68.0,4.7
290,Buraydah,0,SA,1553310323,40,26.33,43.97,71.6,9.89
291,Mokhotlong,92,LS,1553314116,97,-29.29,29.06,49.45,1.95
292,Mayumba,68,GA,1553318457,97,-3.44,10.65,80.95,9.1
293,Bagdarin,0,RU,1553379584,49,54.44,113.59,13.54,8.21
294,Sao Filipe,0,CV,1553326811,92,14.9,-24.5,71.95,15.26
295,Rottenmann,0,AT,1553317223,61,47.52,14.36,54.0,1.12
296,Kamenka,64,RU,1553310019,73,53.19,44.05,37.0,9.1
297,Dargaville,0,NZ,1553365811,88,-35.94,173.86,56.29,3.18
298,Christchurch,0,NZ,1553366135,93,-43.53,172.64,62.01,6.93
299,Margate,75,AU,1553372229,63,-43.03,147.26,64.4,9.17
300,Eufaula,1,US,1553341245,26,31.89,-85.15,75.0,3.36
301,Yekepa,80,LR,1553323017,86,7.58,-8.54,74.65,4.07
302,Maragogi,0,BR,1553329484,100,-9.01,-35.22,84.28,9.66
303,Rio Gallegos,40,AR,1553337787,87,-51.62,-69.22,53.6,6.93
304,Ongandjera,32,NA,1553317443,43,-17.88,15.07,82.21,3.18
305,Tiznit,76,MA,1553323177,89,29.7,-9.73,63.13,5.86
306,Pajapan,40,MX,1553343629,66,18.26,-94.69,84.2,9.17
307,Kabo,36,CF,1553316501,23,7.69,18.62,94.09,5.86
308,Gorin,1,US,1553342810,43,40.36,-92.02,55.99,12.75
309,Krasnogorsk,0,RU,1553311576,74,55.82,37.34,37.4,2.24
310,Airai,32,TL,1553377330,88,-8.93,125.41,70.24,1.61
311,Katobu,88,ID,1553378003,100,-4.94,122.53,80.41,3.29
312,Cheyenne,75,US,1553345870,70,41.14,-104.82,43.0,16.11
313,Nsanje,92,MZ,1553312594,98,-16.92,35.26,73.66,5.41
314,Surgut,90,RU,1553302807,100,61.25,73.4,30.2,4.47
315,Imperatriz,90,BR,1553332414,70,-5.53,-47.48,86.0,4.7
316,Tursunzoda,40,UZ,1553304412,93,38.51,68.23,42.8,4.47
317,Coihaique,20,CL,1553338450,51,-45.58,-72.07,60.8,6.93
318,Tiksi,48,RU,1553375178,68,71.64,128.87,1.57,3.06
319,Zaltan,88,LY,1553317973,91,32.95,11.87,58.09,11.9
320,Cayenne,75,GF,1553333535,62,4.94,-52.33,87.8,13.87
321,Auki,0,NG,1553319386,37,12.18,6.51,88.33,2.84
322,Huarmey,20,PE,1553339791,55,-10.07,-78.15,78.97,3.96
323,Avera,1,US,1553340606,28,33.19,-82.53,70.0,9.17
324,Fowa,0,NG,1553319427,46,8.92,6.4,92.2,3.06
325,Naze,75,NG,1553319281,74,5.43,7.07,86.0,5.82
326,San Quintin,0,PH,1553378363,84,17.54,120.52,64.12,4.07
327,Igrim,32,RU,1553304899,89,63.19,64.42,27.58,3.96
328,Ciudad Bolivar,0,VE,1553336212,26,8.12,-63.55,98.23,12.46
329,Roebourne,92,AU,1553379364,58,-20.77,117.15,82.57,38.41
330,Isangel,92,VU,1553366848,100,-19.55,169.27,76.99,15.14
331,Ponta do Sol,36,BR,1553332110,79,-20.63,-46.0,77.89,5.19
332,Kampot,20,KH,1553382326,88,10.62,104.18,78.8,1.12
333,Olinda,75,EC,1553340144,79,-2.03,-79.75,84.2,6.93
334,Hovd,90,NO,1553317738,88,63.83,10.7,39.0,29.97
335,Shingu,0,JP,1553374524,100,33.72,135.99,47.47,14.7
336,Wittmund,40,DE,1553318702,86,53.58,7.78,46.0,6.93
337,Sayyan,24,YE,1553310301,54,15.17,44.32,59.08,2.84
338,Niono,92,ML,1553322374,26,14.25,-5.99,95.89,5.53
339,Nogales,1,US,1553347434,23,31.34,-110.94,68.0,3.96
340,Damietta,0,EG,1553313204,76,31.42,31.81,59.98,19.84
341,Robertson,88,ZA,1553316332,55,-33.8,19.88,69.61,1.83
342,Talaya,0,RU,1553386427,79,55.79,84.89,30.99,2.24
343,Dingle,68,PH,1553377888,77,11.0,122.67,77.08,12.12
344,Imphal,0,IN,1553384686,72,24.8,93.94,66.55,3.85
345,Ahipara,64,NZ,1553365976,100,-35.17,173.16,60.7,2.39
346,Flinders,32,AU,1553371331,78,-34.58,150.85,72.0,8.05
347,Anshun,92,CN,1553381799,95,26.25,105.93,40.99,5.08
348,Husavik,0,CA,1553343860,65,50.56,-96.99,43.0,8.99
349,Chambas,75,CU,1553339820,54,22.19,-78.91,80.6,18.34
350,La Palma,56,CO,1553338826,94,5.36,-74.39,72.67,2.28
351,Roald,40,NO,1553318877,56,62.58,6.12,41.0,29.97
352,Najran,40,SA,1553310314,25,17.54,44.22,84.2,9.17
353,Kanganpur,0,IN,1553389176,62,29.52,75.05,70.24,8.77
354,Buala,48,SB,1553369124,100,-8.15,159.59,78.97,5.19
355,Askino,56,RU,1553306961,91,56.09,56.58,28.93,3.18
356,West Lake Stevens,20,US,1553349919,71,48.0,-122.1,57.0,3.36
357,Nikolskoye,90,RU,1553313054,86,59.7,30.79,37.99,8.95
358,Mogadishu,64,SO,1553310113,99,2.04,45.34,82.39,16.82
359,Butembo,0,CD,1553313971,88,0.12,29.29,65.92,1.16
360,Komsomolskiy,80,RU,1553304882,88,67.55,63.78,22.63,11.68
361,Aguimes,20,ES,1553324562,63,27.91,-15.45,69.01,23.04
362,Talnakh,68,RU,1553385023,66,69.49,88.39,2.29,5.41
363,Amahai,20,ID,1553376443,100,-3.31,129.0,81.85,8.77
364,Portland,75,US,1553350092,81,45.52,-122.67,55.0,6.93
365,Ploufragan,40,FR,1553321319,93,48.49,-2.79,53.01,8.05
366,Ulladulla,8,AU,1553371423,78,-35.36,150.48,72.0,8.05
367,Peniche,0,PT,1553323010,37,39.36,-9.38,70.0,10.29
368,Gijon,0,ES,1553322072,62,43.54,-5.66,57.2,8.05
369,Luderitz,8,NA,1553317446,82,-26.65,15.16,63.49,11.79
370,Leningradskiy,80,RU,1553363491,79,69.38,178.42,-8.07,20.29
371,Pahrump,1,US,1553348598,30,36.21,-115.98,66.99,4.63
372,Ailigandi,0,PA,1553339679,52,9.23,-78.02,87.25,9.55
373,Grindavik,90,IS,1553325670,100,63.84,-22.43,39.0,16.11
374,Bilibino,0,RU,1553366437,25,68.06,166.44,-18.24,2.17
